mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,spectral_centroids,spectral_bandwidth,spectral_contrast,spectral_rolloff,meanfreq,maxfreq,tone_results,oc_results,label
-337.8,100,-47.5,11.7,-21.5,-18.7,12.7,-22.9,1.2,0.7,-22.9,11.7,-2.9,-16.2,5.7,-10,-4.9,4.2,-8.5,0.6,3064.7,2586.6,25.5,5883.4,3041.8,11608.1,0,120,더 넛츠-사랑의 바보
-341,87.6,-22.8,4.7,-5.4,-8.5,2.1,-13.6,-0.6,-4.2,-16.5,3.3,-6.7,-13.8,0,-8.1,-4,2.6,-5.7,1.8,2207.7,2170.5,25.2,4214.6,2206.6,12545.4,0,175,더크로스-Don't cry
-294.6,113.8,-68.7,6,-9.4,-24.5,-1.4,-28.1,-7.8,-7.1,-18.5,15.6,-6.4,-21.1,1.9,-13.1,-8.4,0.1,-10.6,4.9,2484.5,2139.2,26.8,4650,2477.2,12105.4,0,124,데이식스-예뻤어
-326.8,107.1,-24.3,28,4.9,-16.1,3.1,-13,-3.6,-8.8,-18.6,6.3,-9.6,-18.1,-0.7,-12.8,-5.5,2.4,-13.2,-5.2,2219,2243,25.2,4377.8,2213.9,11039.7,0,115,로이킴-그때 헤어지면 돼
-333.6,107.6,-37,22.1,2.5,-16.5,1.3,-13.6,1.1,-8.1,-17.3,7.6,-12.4,-12.6,3.5,-17.7,-6,0.4,-15.6,-2,2735.4,2300.4,24.9,5167,2722,10997.7,0,111,"로이킴-잘 지내자, 우리"
-284.6,119.7,-56.5,29,-11.8,-30,14.4,-22.4,-16.1,-2.7,-11.2,5.7,-15.1,-12.6,5.9,-14.4,-2.8,1.4,-12.4,4.5,2744.7,2078,26.1,5045.6,2737.5,12379.1,1,165,르세라핌-UNFORGIVEN
-330.6,87.1,-55.9,19,-5.6,-23.1,4.5,-17.1,-0.5,-1.1,-16.4,9.3,-6.5,-16.1,1.8,-6.9,4.5,11,-0.5,8.8,2707.8,2226,26.8,4988.7,2699.5,10647.1,0,155,마크툽-오늘도 빛나는 너에게(Feat.이라온)
-327,100.3,-45.4,9.6,-18.5,-28,9.1,-17.6,-13,-5.4,-15.8,5.3,-6.1,-16.5,-1.1,-12.7,-8.4,5,-1.1,2.4,2694.9,2447.4,25.6,5231,2683.5,12862,0,152,마크툽-찰나가 영원이 될 때
-358.8,94,-36.6,32.2,-12.2,-18.9,12.3,-27.6,-2,3.8,-23.6,9,-3.2,-20,2.2,-9.7,-5.5,3.9,-8.2,2.1,2576.3,2384.2,26.3,5279.2,2568.9,10706.9,0,148,먼데이 키즈-가을안부
-377.2,105.1,-37.3,8.7,-15.7,-19.5,8.5,-21.7,-6.2,3.6,-18.7,-0.7,-4.1,-15.7,-3.2,-9.1,-8.6,-0.8,2.3,6.7,2162.4,2154.7,26.5,4184.6,2151.1,13883,0,125,멜로망스-선물
